ID,WEEK,DAY,HOUR,MINUTE,WAIT,SOURCE,TARGET
14152,1,4,8,36,1,8205,5568
38761,1,4,8,36,0,47270,166741
41821,1,4,8,36,0,235617,152035
42191,1,4,8,36,0,127622,186832
2031,1,4,8,37,1,235617,9775
6713,1,4,8,37,0,235617,10760
15862,1,4,8,37,0,238381,165633
34686,1,4,8,38,1,152759,226056
56991,1,4,8,38,0,159139,31591
33819,1,4,8,39,1,235405,152755
48925,1,4,8,40,1,167629,212922
19229,1,4,8,41,1,215527,160703
26392,1,4,8,41,0,1953,215527
30901,1,4,8,41,0,24578,22781
28379,1,4,8,42,1,810,41541
22230,1,4,8,43,1,5503,104522
33472,1,4,8,43,0,217628,167634
12652,1,4,8,44,1,2684,13367
17026,1,4,8,44,0,152101,6296
54687,1,4,8,45,1,235617,207929
32794,1,4,8,46,1,136483,4789
39768,1,4,8,46,0,6472,136918
2334,1,4,8,47,1,215527,182022
14986,1,4,8,48,1,222410,59
45183,1,4,8,48,0,2675,1527
6553,1,4,8,49,1,159139,199229
10620,1,4,8,49,0,163746,152755
37994,1,4,8,49,0,124136,166422
3718,1,4,8,50,1,239396,137735
29132,1,4,8,52,2,199729,190464
35698,1,4,8,52,0,110502,240872
10754,1,4,8,53,1,238381,166467
19899,1,4,8,53,0,151337,227288
20229,1,4,8,54,1,57907,224150
25978,1,4,8,54,0,138089,200075
40211,1,4,8,54,0,1873,167176
1139,1,4,8,55,1,173601,240307
13370,1,4,8,55,0,11699,9983
23682,1,4,8,55,0,8430,231849
85,1,4,8,56,1,224561,132826
13151,1,4,8,56,0,164737,199231
5266,1,4,8,57,1,1521,101268
45723,1,4,8,57,0,215527,163707
1610,1,4,8,58,1,215527,224395
52601,1,4,8,58,0,9983,165453
53301,1,4,8,58,0,218678,803
9472,1,4,8,59,1,215527,218559
47437,1,4,8,59,0,212191,218775
26509,1,4,9,0,1,4507,8223
33473,1,4,9,0,0,110502,207929
23336,1,4,9,2,2,224561,233837
41822,1,4,9,2,0,235617,140400
10839,1,4,9,3,1,215527,227553
40151,1,4,9,3,0,4680,222306
41481,1,4,9,3,0,196744,233249
57158,1,4,9,3,0,215527,238621
1559,1,4,9,4,1,1674,166826
8891,1,4,9,5,1,173344,163707
2574,1,4,9,6,1,215527,235617
45409,1,4,9,6,0,167633,2335
6469,1,4,9,7,1,215527,163305
26306,1,4,9,7,0,122481,233837
37921,1,4,9,8,1,240914,158749
48815,1,4,9,9,1,215527,225757
19230,1,4,9,12,3,167641,178489
55971,1,4,9,12,0,215527,166740
4569,1,4,9,13,1,215527,9775
8045,1,4,9,13,0,215527,136884
52972,1,4,9,14,1,104039,168242
43731,1,4,9,15,1,235602,4631
9996,1,4,9,16,1,153471,215527
9036,1,4,9,17,1,3672,147777
13596,1,4,9,17,0,226632,9064
15660,1,4,9,17,0,194130,109992
35249,1,4,9,17,0,204766,4579
40981,1,4,9,17,0,151337,178489
43856,1,4,9,18,1,2331,167633
1315,1,4,9,19,1,136626,40215
13152,1,4,9,19,0,4509,4505
14567,1,4,9,19,0,110502,222927
17028,1,4,9,21,2,156672,8459
21207,1,4,9,23,2,173141,231847
38471,1,4,9,23,0,11736,110502
44892,1,4,9,24,1,215527,216802
7337,1,4,9,25,1,163707,13220
22231,1,4,9,25,0,166741,47270
41197,1,4,9,25,0,146965,2084
46334,1,4,9,25,0,167629,222165
539,1,4,9,26,1,166249,2144
3720,1,4,9,26,0,159139,151383
45863,1,4,9,26,0,215527,7940
55666,1,4,9,26,0,196843,175009
39818,1,4,9,27,1,1572,129229
900,1,4,9,28,1,160073,215710
12653,1,4,9,28,0,165423,218775
9266,1,4,9,29,1,5631,5568
16417,1,4,9,29,0,140582,235705
48977,1,4,9,29,0,233194,136880
49154,1,4,9,29,0,32852,1527
52138,1,4,9,29,0,173144,226118
11334,1,4,9,30,1,137013,230135
55007,1,4,9,30,0,11699,9983
9473,1,4,9,31,1,215527,8206
33820,1,4,9,31,0,1948,218349
43368,1,4,9,31,0,215527,216013
4907,1,4,9,32,1,215527,8423
25877,1,4,9,32,0,215527,104036
15171,1,4,9,34,2,235705,140031
22519,1,4,9,35,1,1028,860
30128,1,4,9,35,0,235546,219709
