ID,WEEK,DAY,HOUR,MINUTE,WAIT,SOURCE,TARGET,TIME
29925,1,1,3,3,0,22781,180997,183
31987,1,1,3,3,0,173142,231839,183
36263,1,1,3,3,0,81060,240917,183
339,1,1,3,4,1,151389,153382,184
12198,1,1,3,4,0,102524,110502,184
15605,1,1,3,4,0,238381,5907,184
30547,1,1,3,4,0,33681,988,184
40490,1,1,3,4,0,7383,212005,184
11564,1,1,3,5,1,238152,233984,185
21452,1,1,3,5,0,110502,33816,185
29542,1,1,3,5,0,110502,162102,185
30355,1,1,3,5,0,216807,2330,185
41534,1,1,3,5,0,162450,3910,185
43454,1,1,3,5,0,171526,167767,185
11215,1,1,3,6,1,151369,165613,186
18300,1,1,3,6,0,215527,12647,186
38430,1,1,3,6,0,215527,199229,186
39522,1,1,3,6,0,4504,25052,186
40631,1,1,3,6,0,167629,168679,186
45267,1,1,3,6,0,215527,199670,186
45669,1,1,3,6,0,215527,76215,186
28477,1,1,3,7,1,216749,216753,187
30663,1,1,3,7,0,9558,138089,187
31207,1,1,3,7,0,41,5506,187
45803,1,1,3,7,0,216749,216753,187
19636,1,1,3,8,1,2738,235617,188
24456,1,1,3,8,0,167629,3068,188
37375,1,1,3,8,0,199729,200848,188
56693,1,1,3,8,0,238900,46939,188
13880,1,1,3,9,1,238836,105108,189
20316,1,1,3,9,0,144598,163705,189
48759,1,1,3,9,0,147755,74525,189
10158,1,1,3,10,1,215527,62852,190
10375,1,1,3,10,0,216749,137744,190
44936,1,1,3,10,0,235617,138286,190
13689,1,1,3,12,2,152449,151919,192
28181,1,1,3,12,0,216749,213042,192
36619,1,1,3,12,0,215527,167644,192
44137,1,1,3,12,0,4713,166741,192
45,1,1,3,13,1,162328,2717,193
12988,1,1,3,13,0,163707,8708,193
18974,1,1,3,13,0,161368,163435,193
21169,1,1,3,13,0,167629,43712,193
11090,1,1,3,15,2,216749,165573,195
